order_id,sk_order_date,sk_ship_date,sk_customer,sk_product,sk_region,sales
CA-2017-152156,20171108,20171111,1,1,1,261.96
CA-2017-152156,20171108,20171111,1,2,1,731.94
CA-2017-138688,20170612,20170616,2,3,2,14.62
US-2016-108966,20161011,20161018,3,4,3,957.5775
US-2016-108966,20161011,20161018,3,5,3,22.368
CA-2015-115812,20150609,20150614,4,6,2,48.86
CA-2015-115812,20150609,20150614,4,7,2,7.28
CA-2015-115812,20150609,20150614,4,8,2,907.152
CA-2015-115812,20150609,20150614,4,9,2,18.504
CA-2015-115812,20150609,20150614,4,10,2,114.9
CA-2015-115812,20150609,20150614,4,11,2,1706.184
CA-2015-115812,20150609,20150614,4,12,2,911.424
CA-2018-114412,20180415,20180420,5,13,4,15.552
CA-2017-161389,20171205,20171210,6,14,5,407.976
US-2016-118983,20161122,20161126,7,15,6,68.81
US-2016-118983,20161122,20161126,7,16,6,2.544
CA-2015-105893,20151111,20151118,8,17,7,665.88
CA-2015-167164,20150513,20150515,9,18,8,55.5
CA-2015-143336,20150827,20150901,10,19,9,8.56
CA-2015-143336,20150827,20150901,10,20,9,213.48
CA-2015-143336,20150827,20150901,10,21,9,22.72
CA-2017-137330,20171209,20171213,11,22,10,19.46
CA-2017-137330,20171209,20171213,11,23,10,60.34
US-2018-156909,20180716,20180718,12,24,11,71.372
CA-2016-106320,20160925,20160930,13,4,12,1044.63
CA-2017-121755,20170116,20170120,14,25,2,11.648
CA-2017-121755,20170116,20170120,14,26,2,90.57
US-2016-150630,20160917,20160921,15,27,11,3083.43
US-2016-150630,20160917,20160921,15,28,11,9.618
US-2016-150630,20160917,20160921,15,29,11,124.2
US-2016-150630,20160917,20160921,15,30,11,3.264
US-2016-150630,20160917,20160921,15,31,11,86.304
US-2016-150630,20160917,20160921,15,32,11,6.858
US-2016-150630,20160917,20160921,15,33,11,15.76
CA-2018-107727,20181019,20181023,16,34,13,29.472
CA-2017-117590,20171208,20171210,17,35,14,1097.544
CA-2017-117590,20171208,20171210,17,36,14,190.92
CA-2016-117415,20161227,20161231,18,37,13,113.328
CA-2016-117415,20161227,20161231,18,38,13,532.3992
CA-2016-117415,20161227,20161231,18,39,13,212.058
CA-2016-117415,20161227,20161231,18,40,13,371.168
CA-2018-120999,20180910,20180915,19,41,15,147.168
CA-2017-101343,20170717,20170722,20,42,2,77.88
CA-2018-139619,20180919,20180923,21,43,16,95.616
CA-2017-118255,20170311,20170313,22,44,17,45.98
CA-2017-118255,20170311,20170313,22,45,17,17.46
CA-2015-146703,20151020,20151025,23,46,18,211.96
CA-2017-169194,20170620,20170625,24,47,19,45.0
CA-2017-169194,20170620,20170625,24,48,19,21.8
CA-2016-115742,20160418,20160422,25,49,20,38.22
CA-2016-115742,20160418,20160422,25,50,20,75.18
CA-2016-115742,20160418,20160422,25,51,20,6.16
CA-2016-115742,20160418,20160422,25,52,20,89.99
CA-2017-105816,20171211,20171217,26,53,21,15.26
CA-2017-105816,20171211,20171217,26,54,21,1029.95
CA-2017-111682,20170617,20170618,27,55,22,208.56
CA-2017-111682,20170617,20170618,27,56,22,32.4
CA-2017-111682,20170617,20170618,27,57,22,319.41
CA-2017-111682,20170617,20170618,27,58,22,14.56
CA-2017-111682,20170617,20170618,27,47,22,30.0
CA-2017-111682,20170617,20170618,27,59,22,48.48
CA-2017-111682,20170617,20170618,27,60,22,1.68
CA-2016-135545,20161124,20161130,28,61,2,13.98
CA-2016-135545,20161124,20161130,28,62,2,25.824
CA-2016-135545,20161124,20161130,28,63,2,146.73
CA-2016-135545,20161124,20161130,28,64,2,79.76
US-2016-164175,20160430,20160505,29,65,23,213.115
CA-2015-106376,20151205,20151210,30,66,24,1113.024
CA-2015-106376,20151205,20151210,30,67,24,167.968
CA-2017-119823,20170604,20170606,31,68,25,75.88
CA-2017-106075,20170918,20170923,32,69,21,4.616
CA-2018-114440,20180914,20180917,15,70,26,19.05
US-2016-134026,20160426,20160502,33,71,27,831.936
US-2016-134026,20160426,20160502,33,72,27,97.04
US-2016-134026,20160426,20160502,33,73,27,72.784
US-2018-118038,20181209,20181211,34,74,13,1.248
US-2018-118038,20181209,20181211,34,75,13,9.708
US-2018-118038,20181209,20181211,34,76,13,27.24
US-2015-147606,20151126,20151201,33,77,13,19.3
CA-2017-127208,20170612,20170615,35,78,28,208.16
CA-2017-127208,20170612,20170615,35,79,28,16.74
CA-2015-139451,20151012,20151016,36,80,9,14.9
CA-2015-139451,20151012,20151016,36,81,9,21.39
CA-2016-149734,20160903,20160908,37,82,29,200.984
US-2018-119662,20181113,20181116,38,83,23,230.376
CA-2018-140088,20180528,20180530,23,84,30,301.96
CA-2018-155558,20181026,20181102,39,85,31,19.99
CA-2018-155558,20181026,20181102,39,86,31,6.16
CA-2017-159695,20170405,20170410,40,87,13,158.368
CA-2017-109806,20170917,20170922,41,88,2,20.1
CA-2017-109806,20170917,20170922,41,41,2,73.584
CA-2017-109806,20170917,20170922,41,89,2,6.48
CA-2016-149587,20160131,20160205,42,90,32,12.96
CA-2016-149587,20160131,20160205,42,91,32,53.34
CA-2016-149587,20160131,20160205,42,92,32,32.96
US-2018-109484,20181106,20181112,43,93,33,5.682
CA-2018-161018,20181109,20181111,44,94,21,96.53
CA-2018-157833,20180617,20180620,45,95,9,51.312
CA-2017-149223,20170906,20170911,46,96,34,77.88
CA-2017-158568,20170829,20170902,47,97,23,64.624
CA-2017-158568,20170829,20170902,47,98,23,95.976
CA-2017-158568,20170829,20170902,47,99,23,1.788
CA-2017-129903,20171201,20171204,48,100,31,23.92
US-2016-156867,20161113,20161117,49,101,35,238.896
US-2016-156867,20161113,20161117,49,102,35,102.36
US-2016-156867,20161113,20161117,49,103,35,36.882
CA-2018-119004,20181123,20181128,50,104,36,74.112
CA-2018-119004,20181123,20181128,50,105,36,27.992
